,,
Plan School/College,Academic Plan,Link
Education,Health Promotion & Health Equity BS,https://guide.wisc.edu/undergraduate/education/kinesiology/health-promotion-health-equity-bs/index.html
Education,Intended: Art Education,
Education,Intended: Elementary Education,
Education,Intended: Kinesiology BS,
Education,Intended: Physical Ed BS,
Education,Intended: Special EducationBSE,
Education,Kinesiology BS,https://guide.wisc.edu/undergraduate/education/kinesiology/kinesiology-bs/index.html
Education,No Major Code EDCS,
Education,No Major Code PRE,
Education,Physical Education BS,https://guide.wisc.edu/undergraduate/education/kinesiology/physical-education-bs/index.html
Education,Rehabilitation Psychology BS,https://guide.wisc.edu/undergraduate/education/rehabilitation-psychology-special-education/rehabilitation-psychology-bse/index.html
Education,Special Education BSE,https://guide.wisc.edu/undergraduate/education/rehabilitation-psychology-special-education/special-education-bse/index.html
Education,Theatre & Drama BS,https://guide.wisc.edu/undergraduate/education/theatre-drama/theatre-drama-bs/index.html
Engineering,Biomedical Engineering BS,https://guide.wisc.edu/undergraduate/engineering/biomedical-engineering/biomedical-engineering-bs/index.html
Engineering,Chemical Engineering BS,https://guide.wisc.edu/undergraduate/engineering/chemical-biological-engineering/chemical-engineering-bs/index.html
Engineering,Civil Engineering BS,https://guide.wisc.edu/undergraduate/engineering/civil-environmental-engineering/civil-engineering-bs/index.html
Engineering,Computer Engineering BS,https://guide.wisc.edu/undergraduate/engineering/electrical-computer-engineering/computer-engineering-bs/index.html
Engineering,Electrical Engineering BS,https://guide.wisc.edu/undergraduate/engineering/electrical-computer-engineering/electrical-engineering-bs/index.html
Engineering,Engineering Mechanics BS,https://guide.wisc.edu/undergraduate/engineering/mechanical-engineering/engineering-mechanics-bs/index.html
Engineering,Engineering Physics BS,https://guide.wisc.edu/undergraduate/engineering/nuclear-engineering-engineering-physics/engineering-physics-bs/index.html
Engineering,Environmental Engineering BS,https://guide.wisc.edu/undergraduate/engineering/civil-environmental-engineering/environmental-engineering-bs/index.html
Engineering,Geological Engineering BS,https://guide.wisc.edu/undergraduate/engineering/civil-environmental-engineering/geological-engineering-bs/index.html
Engineering,Industrial Engineering BS,https://guide.wisc.edu/undergraduate/engineering/industrial-systems-engineering/industrial-engineering-bs/index.html
Engineering,Materials Science and Engineering BS,https://guide.wisc.edu/undergraduate/engineering/materials-science-engineering/materials-science-engineering-bs/index.html
Engineering,Mechanical Engineering BS,https://guide.wisc.edu/undergraduate/engineering/mechanical-engineering/mechanical-engineering-bs/index.html
Engineering,No Major Code ENG,
Engineering,Nuclear Engineering BS,https://guide.wisc.edu/undergraduate/engineering/nuclear-engineering-engineering-physics/nuclear-engineering-bs/index.html
Human Ecology,Consumer Behavior & Marketplace Studies BS,https://guide.wisc.edu/undergraduate/human-ecology/consumer-science/consumer-behavior-marketplace-studies-bs/index.html
Human Ecology,Community & Nonprofit Leadership BS,https://guide.wisc.edu/undergraduate/human-ecology/civil-society-community-studies/community-nonprofit-leadership-bs/index.html
Human Ecology,Consumer Finance & Financial Planning BS,https://guide.wisc.edu/undergraduate/human-ecology/consumer-science/consumer-finance-financial-planning-bs/index.html
Human Ecology,Consumer Marketplace Studies BS,https://guide.wisc.edu/undergraduate/human-ecology/consumer-science/consumer-marketplace-studies-bs/index.html
Human Ecology,Human Development & Family BS,https://guide.wisc.edu/undergraduate/human-ecology/human-development-family-studies/human-development-family-studies-bs/index.html
Human Ecology,Intended: Interior Architecture BS,
Human Ecology,Interior Architecture BS,https://guide.wisc.edu/undergraduate/human-ecology/design-studies/interior-architecture-bs/index.html
Human Ecology,No Major Code HEC,
Human Ecology,Personal Finance BS,https://guide.wisc.edu/undergraduate/human-ecology/consumer-science/personal-finance-bs/index.html
Human Ecology,Textiles and Fashion Design BS,https://guide.wisc.edu/undergraduate/human-ecology/design-studies/textiles-fashion-design-bs/index.html
Letters & Science,African American Studies BA,https://guide.wisc.edu/undergraduate/letters-science/african-american-studies/african-american-studies-ba/index.html
Letters & Science,African American Studies BS,https://guide.wisc.edu/undergraduate/letters-science/african-american-studies/african-american-studies-bs/index.html
Letters & Science,African Cultural Studies BA,https://guide.wisc.edu/undergraduate/letters-science/african-cultural-studies/african-cultural-studies-ba/index.html
Letters & Science,Anthropology BA,https://guide.wisc.edu/undergraduate/letters-science/anthropology/anthropology-ba/index.html
Letters & Science,Anthropology BS,https://guide.wisc.edu/undergraduate/letters-science/anthropology/anthropology-bs/index.html
Letters & Science,Applied Math,https://guide.wisc.edu/undergraduate/letters-science/mathematics/applied-mathematics-engineering-physics-bs-amep/index.html
Letters & Science,Applied Social Science BLS,https://guide.wisc.edu/undergraduate/letters-science/college-wide/applied-social-science-bls/index.html
Letters & Science,Art History BA,https://guide.wisc.edu/undergraduate/letters-science/art-history/art-history-ba/index.html
Letters & Science,Art History BS,https://guide.wisc.edu/undergraduate/letters-science/art-history/art-history-bs/index.html
Letters & Science,Asian Languages & Cultures BA,https://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/asian-languages-cultures-ba/index.html
Letters & Science,Asian Languages & Cultures BS,https://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/asian-languages-cultures-bs/index.html
Letters & Science,Asian Studies BA,https://guide.wisc.edu/undergraduate/letters-science/asian-american-studies/asian-american-studies-certificate/index.html
Letters & Science,Astronomy - Physics BA,https://guide.wisc.edu/undergraduate/letters-science/astronomy/astronomy-physics-ba/index.html
Letters & Science,Astronomy - Physics BS,https://guide.wisc.edu/undergraduate/letters-science/astronomy/astronomy-physics-bs/index.html
Letters & Science,Atmospheric & Oceanic Sciences BA,https://guide.wisc.edu/undergraduate/letters-science/atmospheric-oceanic-sciences/atmospheric-oceanic-sciences-ba/index.html
Letters & Science,Atmospheric & Oceanic Sciences BS,https://guide.wisc.edu/undergraduate/letters-science/atmospheric-oceanic-sciences/atmospheric-oceanic-sciences-bs/index.html
Letters & Science,Biochemistry BA,https://guide.wisc.edu/undergraduate/letters-science/college-wide/biochemistry-ba/index.html
Letters & Science,Biochemistry BS,https://guide.wisc.edu/undergraduate/letters-science/college-wide/biochemistry-bs/index.html
Letters & Science,Biology BA,https://guide.wisc.edu/undergraduate/letters-science/integrative-biology/biology-ba/index.html
Letters & Science,Biology BS,https://guide.wisc.edu/undergraduate/letters-science/integrative-biology/biology-bs/index.html
Letters & Science,Botany BA,https://guide.wisc.edu/undergraduate/letters-science/botany/botany-ba/index.html
Letters & Science,Botany BS,https://guide.wisc.edu/undergraduate/letters-science/botany/botany-bs/index.html
Letters & Science,Cartography & Geographic Information Systems BA,https://guide.wisc.edu/undergraduate/letters-science/geography/cartography-geographic-information-systems-ba/index.html
Letters & Science,Cartography & Geographic Information Systems BS,https://guide.wisc.edu/undergraduate/letters-science/geography/cartography-geographic-information-systems-bs/index.html
Letters & Science,Chemistry BA,https://guide.wisc.edu/undergraduate/letters-science/chemistry/chemistry-ba/index.html
Letters & Science,Chemistry BS,https://guide.wisc.edu/undergraduate/letters-science/chemistry/chemistry-bs/index.html
Letters & Science,Chicana/o Latina/o Studies BA,https://guide.wisc.edu/undergraduate/letters-science/chicana-chicano-latina-latino-studies/chicana-chicano-latina-latino-studies-ba/index.html
Letters & Science,Chicana/o Latina/o Studies BS,https://guide.wisc.edu/undergraduate/letters-science/chicana-chicano-latina-latino-studies/chicana-chicano-latina-latino-studies-bs/index.html
Letters & Science,Chinese BA,https://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/chinese-ba/index.html
Letters & Science,Chinese BS,https://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/chinese-bs/index.html
Letters & Science,Classical Humanities BA,https://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classical-humanities-ba/index.html
Letters & Science,Classical Humanities BS,https://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classical-humanities-bs/index.html
Letters & Science,Classics BA,https://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classics-ba/index.html
