,,Gender,Gender,Gender,Gender,Gender
Plan School/College,Academic Plan,Female,Male,Unknown,Other,Grand Total
Letters & Science,Classical Humanities BA,11,3,,,14
Letters & Science,Classical Humanities BS,,2,,,2
Letters & Science,Classics BA,2,2,,,4
Letters & Science,Classics BS,1,1,,,2
Letters & Science,Communication Sciences & Disorders BA,129,4,,,133
Letters & Science,Communication Sciences & Disorders BS,56,5,,,61
Letters & Science,Communication Arts BA,318,146,,,464
Letters & Science,Communication Arts BS,30,39,,,69
Letters & Science,Computer Sciences BA,35,99,,,134
Letters & Science,Computer Sciences BS,370,"1,729",,,"2,099"
Letters & Science,Conservation Biology BA,31,11,,,42
Letters & Science,Conservation Biology BS,83,25,,,108
Letters & Science,Data Science BA,55,82,,,137
Letters & Science,Data Science BS,274,708,,,982
Letters & Science,Economics BA,181,381,,,562
Letters & Science,Economics BS,172,399,,,571
Letters & Science,English BA,183,48,,,231
Letters & Science,English BS,24,11,,,35
Letters & Science,Environmental Sciences BA,11,2,,,13
Letters & Science,Environmental Sciences BS,51,20,,,71
Letters & Science,Environmental Studies BA,81,25,,,106
Letters & Science,Environmental Studies BS,47,16,,,63
Letters & Science,French BA,9,2,,,11
Letters & Science,French BS,7,3,,,10
Letters & Science,Gender & Women's Studies BA,44,2,,,46
Letters & Science,Gender & Women's Studies BS,16,1,,,17
Letters & Science,Geography BA,28,9,,,37
Letters & Science,Geography BS,9,14,,,23
Letters & Science,Geology & Geophysics BA,4,1,,,5
Letters & Science,Geology & Geophysics BS,15,15,,,30
Letters & Science,German BA,6,2,,,8
Letters & Science,German BS,3,5,,,8
Letters & Science,History BA,140,134,,,274
Letters & Science,History BS,14,33,,,47
Letters & Science,Information Science BA,31,20,,,51
Letters & Science,Information Science BS,37,53,,,90
Letters & Science,International Studies BA,151,45,,,196
Letters & Science,International Studies BS,16,6,,,22
Letters & Science,Italian BA,,2,,,2
Letters & Science,Italian BS,1,1,,,2
Letters & Science,Japanese BA,9,10,,,19
Letters & Science,Japanese BS,3,10,,,13
Letters & Science,Jewish Studies BA,3,1,,,4
Letters & Science,Journalism BA,370,86,,,456
Letters & Science,Journalism BS,23,12,,,35
Letters & Science,Landscape & Urban Studies BA,17,14,,,31
Letters & Science,Landscape & Urban Studies BS,10,9,,,19
Letters & Science,Landscape Architecture BLA,37,27,,,64
Letters & Science,"Latin American, Caribbean & Iberian Studies BA",7,1,,,8
Letters & Science,"Latin American, Caribbean & Iberian Studies BS",2,,,,2
Letters & Science,Latin BA,1,1,,,2
Letters & Science,Latin BS,3,1,,,4
Letters & Science,Legal Studies BA,213,51,,,264
Letters & Science,Legal Studies BS,49,12,,,61
Letters & Science,Linguistics BA,41,16,,,57
Letters & Science,Linguistics BS,10,3,,,13
Letters & Science,Mathematics BA,27,46,,,73
Letters & Science,Mathematics BS,102,291,,,393
Letters & Science,Microbiology BA,1,1,,,2
Letters & Science,Microbiology BS,41,27,,,68
Letters & Science,Molecular & Cell Biology BA,1,,,,1
Letters & Science,Molecular & Cell Biology BS,68,42,,,110
Letters & Science,Music BA,30,23,,,53
Letters & Science,Music BS,18,14,,,32
Letters & Science,Music: Education BM,20,13,,,33
Letters & Science,Music: Performance BM,15,18,,,33
Letters & Science,Neurobiology BA,15,12,,,27
Letters & Science,Neurobiology BS,457,184,,,641
Letters & Science,No Major Code BA,"2,133","1,530",,,"3,663"
Letters & Science,No Major Code BS,"2,114","2,505",,1,"4,620"
Letters & Science,Philosophy BA,32,48,,,80
Letters & Science,Philosophy BS,16,33,,,49
Letters & Science,Physics BA,1,6,,,7
Letters & Science,Physics BS,26,86,,,112
Letters & Science,Polish BA,1,,,,1
Letters & Science,Polish BS,4,1,,,5
Letters & Science,Political Science BA,417,273,,,690
Letters & Science,Political Science BS,67,67,,,134
Letters & Science,Portuguese BA,4,,,,4
Letters & Science,Portuguese BS,1,1,,,2
Letters & Science,Psychology BA,624,131,,,755
Letters & Science,Psychology BS,399,126,,,525
Letters & Science,Religious Studies BA,5,3,,,8
Letters & Science,Religious Studies BS,3,1,,,4
Letters & Science,Russian BA,12,5,,,17
Letters & Science,Russian BS,1,,,,1
Letters & Science,Scandinavian Studies BA,4,,,,4
Letters & Science,Scandinavian Studies BS,2,4,,,6
Letters & Science,Social Welfare BA,96,12,,1,109
Letters & Science,Social Welfare BS,12,5,,,17
Letters & Science,Social Work BSW,42,3,,,45
Letters & Science,Sociology BA,107,31,,,138
Letters & Science,Sociology BS,39,16,,,55
Letters & Science,Spanish BA,113,40,,,153
Letters & Science,Spanish BS,70,14,,,84
Letters & Science,Statistics BA,14,19,,,33
Letters & Science,Statistics BS,65,96,,,161
Letters & Science,Zoology BA,16,5,,,21
Letters & Science,Zoology BS,59,23,,,82
Nursing,Intended: Nursing BSN,433,69,,,502
Nursing,Nursing Accelerated BSN,34,9,,,43
Nursing,Nursing BSN,272,50,,,322
Nursing,Nursing Collaborative Program BSN,43,10,,,53
Pharmacy,Pharmacology & Toxicology BS,28,18,,,46
