,,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level
,,Undergraduate,Undergraduate,Undergraduate,Undergraduate,Graduate,Special (Non-Degree),Grand Total
Plan School/College,Academic Plan,Freshman,Sophomore,Junior,Senior,Masters,College,Total
Letters & Science,Asian Studies BA,,,,1,,,1
Letters & Science,Astronomy - Physics BA,,1,1,2,,,4
Letters & Science,Astronomy - Physics BS,,5,18,49,,,72
Letters & Science,Atmospheric & Oceanic Sciences BA,,,1,,,,1
Letters & Science,Atmospheric & Oceanic Sciences BS,,4,15,27,,,46
Letters & Science,Biochemistry BA,,,2,1,,,3
Letters & Science,Biochemistry BS,2,20,76,139,,,237
Letters & Science,Biology BA,1,,14,12,,,27
Letters & Science,Biology BS,8,57,208,305,1,,579
Letters & Science,Botany BA,,1,2,4,,,7
Letters & Science,Botany BS,,1,6,18,,,25
Letters & Science,Cartography & Geographic Information Systems BA,,,2,11,,,13
Letters & Science,Cartography & Geographic Information Systems BS,,3,11,18,,,32
Letters & Science,Chemistry BA,,,5,4,,,9
Letters & Science,Chemistry BS,,18,45,101,,,164
Letters & Science,Chicana/o Latina/o Studies BA,,2,2,9,,,13
Letters & Science,Chicana/o Latina/o Studies BS,,,1,2,,,3
Letters & Science,Chinese BA,,6,8,12,,,26
Letters & Science,Chinese BS,,,3,5,,,8
Letters & Science,Classical Humanities BA,,1,4,9,,,14
Letters & Science,Classical Humanities BS,,,1,1,,,2
Letters & Science,Classics BA,,,3,1,,,4
Letters & Science,Classics BS,,,,2,,,2
Letters & Science,Communication Sciences & Disorders BA,4,26,51,52,,,133
Letters & Science,Communication Sciences & Disorders BS,1,5,22,33,,,61
Letters & Science,Communication Arts BA,4,64,164,232,,,464
Letters & Science,Communication Arts BS,,4,24,41,,,69
Letters & Science,Computer Sciences BA,,12,46,76,,,134
Letters & Science,Computer Sciences BS,,246,700,"1,153",,,"2,099"
Letters & Science,Conservation Biology BA,,3,15,24,,,42
Letters & Science,Conservation Biology BS,1,6,32,69,,,108
Letters & Science,Data Science BA,1,15,57,64,,,137
Letters & Science,Data Science BS,,92,335,555,,,982
Letters & Science,Economics BA,,39,207,316,,,562
Letters & Science,Economics BS,,40,198,333,,,571
Letters & Science,English BA,2,36,86,107,,,231
Letters & Science,English BS,,1,9,25,,,35
Letters & Science,Environmental Sciences BA,,1,3,9,,,13
Letters & Science,Environmental Sciences BS,,7,17,47,,,71
Letters & Science,Environmental Studies BA,1,11,44,50,,,106
Letters & Science,Environmental Studies BS,,3,9,51,,,63
Letters & Science,French BA,,,4,7,,,11
Letters & Science,French BS,,,1,9,,,10
Letters & Science,Gender & Women's Studies BA,,4,14,28,,,46
Letters & Science,Gender & Women's Studies BS,,2,3,11,1,,17
Letters & Science,Geography BA,,,12,25,,,37
Letters & Science,Geography BS,,1,5,17,,,23
Letters & Science,Geology & Geophysics BA,,1,2,2,,,5
Letters & Science,Geology & Geophysics BS,,3,8,19,,,30
Letters & Science,German BA,,1,4,3,,,8
Letters & Science,German BS,,,1,7,,,8
Letters & Science,History BA,1,26,124,123,,,274
Letters & Science,History BS,,4,20,23,,,47
Letters & Science,Information Science BA,1,12,19,19,,,51
Letters & Science,Information Science BS,,15,40,35,,,90
Letters & Science,International Studies BA,1,8,64,123,,,196
Letters & Science,International Studies BS,,2,7,13,,,22
Letters & Science,Italian BA,,,2,,,,2
Letters & Science,Italian BS,,,,2,,,2
Letters & Science,Japanese BA,1,,7,11,,,19
Letters & Science,Japanese BS,,1,3,9,,,13
Letters & Science,Jewish Studies BA,,,2,2,,,4
Letters & Science,Journalism BA,,73,174,209,,,456
Letters & Science,Journalism BS,,3,14,18,,,35
Letters & Science,Landscape & Urban Studies BA,1,6,13,11,,,31
Letters & Science,Landscape & Urban Studies BS,,3,8,8,,,19
Letters & Science,Landscape Architecture BLA,3,13,20,28,,,64
